Writer	Rate	Date	Contents
Kaila Robinson	1	November 8, 2020	Horrible app I'm tired of all of these low effort games. It's all bs and you don't even play against real people. Can't until game actually start getting good again.
Filo pastry	4	November 8, 2020	Noice
ReDerrius June	5	November 8, 2020	Inspired
Alexander st	5	November 8, 2020	Easy going and fun game
Duke Roquemore	1	November 8, 2020	Graphics are bad its very slow ads everytime I play wouldn't recommend
Tina Miller	1	November 8, 2020	It is horrible I would not recommend it the quality is horrible of the game I've seen in the comments there's lots of ads it's hard to play and not like challenging heart but like it's actually physically hard can you play it's very sensitive when you touch it.
Lemica Lawrence	5	November 8, 2020	I don't even know where to start this game is amazing like so amazing 💗💗💗💗
Jakob Robinson	5	November 8, 2020	It's so good that it gets you angry when you lose
Olayinka Atanda	5	November 8, 2020	It's good because I always win lol 😂😂
wesparadox	5	November 8, 2020	It is good that the person jumps so I can live
Evelyn	5	November 8, 2020	😼😼👍👍👍👍👍👍🤥🤥
timothy brown	5	November 8, 2020	It's so cool play it
diavolo doppio	4	November 8, 2020	The game could be better like no ads every time tou beat a level and randomize levels and a hard mode but other than that the concept of this game is amazing and I really hope they listen
Mawalana Nuli	5	November 8, 2020	Good You won
Zoe Kennedy	3	November 8, 2020	This is a very very hard game so I sugest to make it a little bit easy
Precious Billings	5	November 8, 2020	This game is truly the best I also love that you get different places to race at I personally love the brown racing center and the pink if I could see who made this game I would give them a million pounds of gold and a million dollars ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😁 I don't even go to my best at I stay up playing this game and my mom is like GO TO YOUR BED NOW OR I WILL CALL YOUR DaD!!!!!!! I'm like at 12 :00 period poo 😁❤️😁❤️❤️❤️😁❤️😁❤️😁❤️❤️❤️😁❤️😁❤️😁❤️
gg Kumarswsmi	5	November 8, 2020	Wow 🤩🤩😍
Morae Boucher	5	November 8, 2020	Happy
Aarti Bharagv	5	November 8, 2020	Siragams
Daniel Lopez	2	November 8, 2020	Its fun at first, but like every other game, it gets boring real fast. Like every other game, it has, lame skins, ads, not a lot of new stuff as you progress, little or no sound...
Olen Barthelemy	1	November 8, 2020	I could have gave it 0 starts because this is so laggy I would rather play a bootleg minecraft game than this game😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡
Kyler Barrett	1	November 8, 2020	Win, lose or draw, you are forced to watch an ad
Laxman Singh Rawat	5	November 8, 2020	Guicih
Lucas Steer	2	November 8, 2020	Unlocks can be achieved quite quickly, leading to low playtime. Seems to be trying to fake online play? Ads make the phone run very hot and drain battery. Interesting mechanic, but just doesn't have enough to it to keep playing.
Michelle Dierker	1	November 8, 2020	It is so annoying because when you get on it don't turn itself you have to turn it and I'm like used to it to be like it tunes it's selfthat so that is why I gave it a one star also go check out the game stare run it's way better and rilly fun😍
Jess Squire	5	November 8, 2020	Good game to play
Jans Ruiz	1	November 8, 2020	Ad after every game and no real purpose
MARIA TEODORESCU	1	November 8, 2020	Horrible it's all ads and my first game I played was paging and I just walk on the water not on purpose it's so annoying
M.E.B CHIRAG Vaishnav	5	November 8, 2020	Fantastic
DanAndBekka Rodgers	5	November 8, 2020	I like the running
Sharon Townsend	4	November 8, 2020	It is an awsome game! If you don't read the reviews first, you wouldn't know that you are supposed to go to the finish line, and you just wonder around! It is sooo slow running. Those are the only bad things. If they improve them, then it will be the best game ever! It is really hard to turn.
Nadia Hassani	1	November 8, 2020	Nnnn
Linda Davis	1	November 8, 2020	Real lagging plus the game is so bad that I cant stand it it desorves one star
Bindu Parajuli	1	November 8, 2020	Free fire is the best game in the world
Ali zain	5	November 8, 2020	Vvvvv goog😊😊😊
Seal Fish Doo Doo	1	November 8, 2020	DO NOT PLAY. This game honestly sucks I mean the turning in this game socks its so slow and you can barely turn.
Your BFF	5	November 8, 2020	I love this game.
Jamie Robinson	4	November 8, 2020	"I think it could be better because the people look weird !! That is all I have to say ! And stay safe at home with family and friends !!!!!! ""DO IT PLEASE """
Kathy Darby	5	November 8, 2020	Inspiering and fun
iibubbly_bunnny Bubbly	3	November 8, 2020	Although this game if fun at first but then almost every tap is a ad also kinda hard to control laggy not best game grafics
THYRATCULTIST	1	November 8, 2020	Bad
WALEED IMTIAZ	5	November 8, 2020	Great game.... Much need update in everything.. Put more things to buy except clothes.... Less the ads.... Overall i love the game but update needed....
Bruhe Momento	5	November 8, 2020	THIS GAME MADE ME ALIVE I WAS DEAD BEFORE O PLAIED THIS GAME NOWBINAM ALOVE OK G SO GOOD THANK YOU VOO DOO FOR THOS MASTERPIECE OF A GAME
Kae Sedwick	1	November 8, 2020	Incredibly laggy, and yet somehow still way too easy to beat. Boring.
Sunita Yadav	5	November 8, 2020	Nice game
Angela Alba	1	November 8, 2020	I hate this game this game is so bad
Ajitha S	5	November 8, 2020	Kollam
Ahad Ahmad	5	November 8, 2020	Hello friends
Trapti Bharti	1	November 8, 2020	A very bad game dosent even work properly .do you know whats the problem in it is not running properly when we go through it it dosent run properly its a bad game do not download 😡🤬😡😡😡☹️☹️🤬🤬🤬🤬🤬🤬🤬🤬😡😡🤬🤬👎👎👎👎
Katie Kayla	5	November 8, 2020	Wow it's really Fun guys
Smokey G	5	November 8, 2020	Try if u r feeling borr
fact tell-well	5	November 8, 2020	Nhu
Suman Bala	4	November 8, 2020	Good game
Palak Parmar	3	November 8, 2020	This game is lagging so much I can't play this game
Sanjay Khandpasole	4	November 8, 2020	This is a good game
NAYRA POWELL	5	November 8, 2020	To look goooooood game😆😆😆😆
GAME DEAD	5	November 8, 2020	so good
WAHCL RDYBZHC•JY	5	November 8, 2020	nicee
Mohammed Noman	3	November 8, 2020	This game need improve
Yogesh Kasana	5	November 8, 2020	This is very nice game.and gb last vala collom ma Rs. 10000 lakta ha aur hamara par Rs. 10000 nahi hota ha too add ka ata ha bus add ka dabado
Mr Sunil	5	November 8, 2020	Let's try this game once😁🤣😅😅😅
deepak kumar	5	November 8, 2020	Abhy Chuhan
Gurpreet Dhaliwal	1	November 8, 2020	Dirty game
Afrah Khan	4	November 8, 2020	I would give 5 star to this game. This game is awesome. But I have a problem. I have unlocked all the outfits in day 2. I wish this game would had more things to unlock. Or maybe more features. Or else this game is awesome
Bipan Shrestha	5	November 8, 2020	Nice😀😀😀😎
Gyanshankar Arya	1	November 8, 2020	I love this app
Vanessa Williamson	2	November 8, 2020	Cute, too many ads. Spent more time looking at ads than actually playing.
vemulawada gully muchatlu	5	November 8, 2020	Super
Jasmya Goddard	1	November 8, 2020	This game is ugly I will give you a five star rating if you fix it so entail then do not install this app okay people ya you got it people this game is wobbly in the game soooooooooooooooooooooooooooooooooo do not install this app!!!!!!!!!!!!!! Rate every thing no and dumb. Jasmya Anna Sophia Stewart Goddard.
Nilesh Patil	5	November 8, 2020	Vamsi Nilesh party
Shashi Kant Srivastava	5	November 8, 2020	Super nice game
Main Account	1	November 8, 2020	This is an okay game, I turn on airplane mode and there is no ads. But when I make an big shortcut, like 25, it's too laggy for me to turn in time on the wavy track and I lose😭
Amirali Kondi	5	November 8, 2020	عالیییییییییییییی
AhmadAlamgir playing	5	November 8, 2020	Tatti
Klynxi	2	November 8, 2020	Horrible gameplay is really laggy hard to control and ads
Bridget Emmerson	1	November 8, 2020	Possibly the most frustrating game I have ever played. If I swipe a tiny bit left, I end up in the sea. If I try to take a stack of blocks, I end up in the sea. If I do nothing, I somehow end up in the sea. This game has potential, sure, but the controls are TERRIBLE. I don't care about the adds, the controls are by far the worst thing in this game
Amy_the Bacon_head	1	November 8, 2020	I deleted all my apps for a stupid game oh wow!
Suresh Dhungana	5	November 8, 2020	This game is asowme
Sherry Lackey	5	November 8, 2020	Fun easy amazing i won a lot of times but its too easy i won,t ya,ll to make it harder
Piyush Gupta	1	November 8, 2020	Very hang Bakwas
Deepan Kumar	5	November 8, 2020	Super game🥰
Josh Dickinson	1	November 8, 2020	Spend moref time watching adds than actually playing the game.
Kalyani P	5	November 8, 2020	This is. Nice game
Zega v2	1	November 9, 2020	Trash 🗑 🚮 🗑 🚮 🗑 🚮
Hamed Alizadeh	5	November 9, 2020	جالبه
Dena Fulton	5	November 9, 2020	Many adds but its okay compared to gameplay
Aidid Sazuan	5	November 9, 2020	So nice i like😍😍😍😍😍😍😍😍😍😍😍😍
Donald Orth	5	November 9, 2020	Awesome game
Bubble_lover forlife	1	November 9, 2020	This is the worst game ever too many ads also it's buggy and it's bad
pardeep boora	5	November 9, 2020	Ggvcgu ज्झब्ज बीबीएनबी वीसीसीसी बीबीकेके Yggvvचजीबीबीबी
Joshua Shearer	5	November 9, 2020	Forexrfun
Yogita Sarda	1	November 9, 2020	Worthiest game I seen.
junior 01	1	November 9, 2020	Super slow laggy and basicaly unplayable
Sandy Cheeks	5	November 9, 2020	I like it
Suchith Dayanand	5	November 9, 2020	Addictive game
Xx ThAnOs2oo4 xX	5	November 9, 2020	Nice
Mark Torselli	1	November 9, 2020	10 second level -> unskippable 30+ second ad. Every. Single. Level. You spend no time playing the game and way too much watching ads. Plus the levels are all exactly the same and against bots, not people
Lori Stevenson	5	November 9, 2020	Game looks so fun
Ava Boom	5	November 9, 2020	I love it
Suraya Sofea Evan	5	November 9, 2020	fun
tazegamer05	1	November 9, 2020	Well just like all the other games made by voodoo, they cant keep vert count low or code properly making the game way to choppy to even play smoothly
Holl S-B	2	November 9, 2020	Unrepresentative and boring . The skins are mainly white males, clear lack of equal representation as there is only a few female skins and people of colour are near to none. Furthermore the game lacks skins in general. I have collected all the skins and I only played it a bit over the last 2 or 3 days. This also now renders the coin system useless.
Ericberto Lopez	1	November 9, 2020	Way to many adds and not real players
Alamin Biswas	5	November 9, 2020	Good
Sophie McDonald	3	November 9, 2020	It's a very easy and short game but it's still good and it's a bit boring and I hate it because theres so many adds
Kyle Young	1	November 9, 2020	Terrible
makyetha mac	5	November 9, 2020	It is a thank u for makeing this is the best game ever 1. Irs a easy game 2. I like building 3. The best game but like its cool like cool building🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃
Malembela Wiliam	5	November 9, 2020	Good
Angel Vekazquez Almeyda	4	November 9, 2020	Muy bueno, con arro blanco
Nicholas Davis	1	November 9, 2020	To many adds
angus madore	1	November 9, 2020	its trash
tristan wade	1	November 9, 2020	Terrible game
Saji Parapuzha	1	November 9, 2020	It is not downloading
Amirhossein Molarodi	5	November 9, 2020	Nice
victory vday	1	November 9, 2020	As with almost every single game I've tried from this company oversimplified and full of ads. That pairs with bots that are very easy to beat. The game is over in about 20 seconds. Same track over and over and over again every 20 seconds. In terms of a game, it's a cash grab.
Frost Gazy	1	November 9, 2020	This game haz like 3 fps I cant play it
Brett Christiana	4	November 9, 2020	Really good game but your playing with bots
Maria Aguinga	2	November 9, 2020	Not bad but ads 😐 they should really work on that and the character thing is pretty bad over all I only had fun for 2 mins playing this game 😐
Mortm	1	November 9, 2020	AD farm. Bad controls, ADs are unskippable, poor gameplay.
Yancy Angeles	1	November 9, 2020	Ad central
Aiden Milden	2	November 9, 2020	"Gameplay is kinda wonky, an ad plays after every single game played (each lasting roughly 30 seconds). There is also no online play, despite there being other named ""players"" with flags by their names, etc. The game itself is a neat idea, but comes off as more of a cash grab through spam ads and does not seem like much thought or effort was put into development. Thus, 2 stars is all I can give."
Sebastian S	1	November 9, 2020	It sucks
Sammy Telmani	4	November 9, 2020	It's a good game it's fun and no lagging soo that's good
P Purokayastha	1	November 9, 2020	Seriously why does there have to be ads if no ads it would be very helpful
Yousef Poornick	5	November 9, 2020	عالی بود
Kitty Coder	1	November 9, 2020	Get all the skins, games basically pointless. Would be more fun if there was a real people multiplayer, but we all know that cashgrab games never update or do anything about bugs or complaints. Don't waste your time, find a game with less ads and play that.
sebastian Gallegos	5	November 9, 2020	I have fun playing the game
RJ Weberg	1	November 9, 2020	Lagy thats all i have to say trash game tho
Izzy glizzy u kno	3	November 9, 2020	Fun game but too many ads
chuc angel	5	November 9, 2020	Fortnite Black Jack
Raymera Stephens	5	November 9, 2020	I have to say the game is all good apparently
Josue Alcala	1	November 9, 2020	Full of ads, only bots
claire bear	5	November 9, 2020	This is a casual game for this brand.this is kinda a racing game.
Beverly Jackson	4	November 9, 2020	An ad after every run so you might as well triple your gold for the ad. Kinda glitchy sometimes but the game is good. Lots of characters to unlock and chose from, super easy.
Miles Chen	5	November 9, 2020	very fun
Thynest Channs	5	November 9, 2020	Nice
Alexander Albrecht	1	November 9, 2020	Ad mining game
Marquise Shortell	5	November 9, 2020	Decent game
Fahmida Akther	5	November 9, 2020	I got 400M coins. I got all legendary skins
Alma Eula	3	November 9, 2020	the app is good but it has a lot of ads and I don't like it
Faeeda Ishmael	5	November 9, 2020	Great game. I am 7yrs old and enjoy playing it using my Aunty Phone.I love this game...It is so much fun and I really like playing it. Z.M.
Malachi Costello	5	November 9, 2020	Cool😎😎😎
Maria Gonzales	5	November 9, 2020	It so fun
Gokul Gokul	5	November 9, 2020	Super
Mollie Griego	1	November 9, 2020	Its really hard and boring don't download
Lina William	5	November 9, 2020	OK
Caleb Kraker	1	November 9, 2020	Voodoo is literally the worst. Every one of their games is unplayably laggy. That's 100%. It's unbearable. Every once in a great while I try another one out and I'm reminded why I left long ago as my blood pressure rises because of the awful game I just wasted my time in.
Joseph Barajas	1	November 9, 2020	Boohoo
OFFICIAL SHARK BOYZ	1	November 9, 2020	It's terrible
Symone Amore Makeup	2	November 9, 2020	Like there is no way im going to get threw this without an ad. Like every second i get on the gqme a ad comes up. Now if you see this and the other comments on this game then you should fix it forreal. GET THOSE DUM ADS OUT NOW IM NOT DOQNLOADING A GAME FROM A STUPID AD SO PLEASE FIX THIS!
Taylor Jones	5	November 9, 2020	I think it's very appropriate and very interesting to play and I just love it
OneHitWarrior1	1	November 9, 2020	Horrible frame rate, so laggy
Matt Robertson	2	November 9, 2020	The game is really fun, but the amount of ads kill the game.
Nictalya Morain	5	November 9, 2020	Its fun
Lanceiscool	5	November 9, 2020	Good
Ahh _A	5	November 9, 2020	It's fun and Addicting
Smana Ahmed	5	November 9, 2020	I like it
Pooh Baer	5	November 9, 2020	It's great
Bembadi Ravi	1	November 9, 2020	Dinesh
Sunita Limbu	5	November 9, 2020	Nice
Hnin Hnin	5	November 9, 2020	This a game is sooo fun
Abhi Nivas	4	November 9, 2020	Nice game
K Anderson	2	November 9, 2020	It's fine. I love the game, but you lose 3 stars because I bought AD-FREE... why are ads still popping up?! I paid for ZERO ADS!
TG_ ARMY	5	November 9, 2020	Best game
Parul Dhiman	5	November 9, 2020	Very nice game snd funn
Josh Tatum tatum98art@gmail.com	1	November 9, 2020	Way to many ads, fun just way to many ads
allen parent	1	November 9, 2020	To many ads
Ray Cho	5	November 9, 2020	Intuitive game concept and good spread of ads. Looking forward to the future content for the game
RITU GAUTAM	5	November 9, 2020	Hi 👋 bhai Ji
Pala Singh	5	November 9, 2020	Very nice game wonderful
Jorge Garcia	5	November 9, 2020	I so much this is a good game I'll get five stars
ashok kumar	5	November 9, 2020	Very nice game
Andrew Warhurst	5	November 9, 2020	Great game
Neha constuctions	5	November 9, 2020	Awesome thank
Reza Kamalzade	5	November 9, 2020	Exelent
Potato	5	November 9, 2020	This is the best game i played the only thing i dont like is theres no sounds
Abdullah Islam	3	November 9, 2020	I think ads are very annoying. Gameplay is good . Needs to improve more ....
greg loos	1	November 9, 2020	To simple to win. No end goal for rewards. In game money is not used for anything other then looks. Not playing agenst real people. Easy win: run to the end do not worry about having alot of bricks. Once you win you can backtrack to get all the bricks you want/need to hit higest point value.
Deepa Suvarnan	5	November 9, 2020	Supet
Shambhu Kabir	5	November 9, 2020	Good game but one problem ads but it is ok for me good game nice keep it up😁😁😁😁😁
atul jadhav	1	November 9, 2020	Its soooooooooo boring game i will suggest you never download this game . Please dont download.
Brendan McCombs	1	November 9, 2020	Way to many ads. I get it's free and that how you guys generate revenue, but goodness these ads are way too invasive.
Hashiyana Hashiyana	4	November 9, 2020	Very good👍
Lobashini Lobashini	5	November 9, 2020	Nice but ignore the ads pls Becoz its diturbing the game So pls you told to off the net But also it came a ad so all support of the Game pls
Dawaa Dawaa	5	November 9, 2020	nice
Michael Pearson	1	November 9, 2020	I get you have ads but after the very first round and after declining the extra coins? It is a cool game but too greedy to watch a 30s ad after every game. You are a loser.
Fr03tb1te Clover	5	November 9, 2020	Really really addicted to it.
Azfar Mirza	5	November 9, 2020	Very interested game thank for making gam
Andreas Santos	1	November 9, 2020	Ads everytime
Amir Eskandari	4	November 9, 2020	Interesting
Akshit Nayak	1	November 9, 2020	Bad game ever played not leting me turn around and hanging a lot recommend you to not play.
Bhagirathi Sapkota	5	November 9, 2020	Good game preeti good luck with the game and he is in game of thrones and is a good thing and it can be fun for the first couple to make it happen and get your best friends and get him out of it and you will be real happy returns of you wish you have the best chance to get to you nani stay
Bhupendra Kumar	5	November 9, 2020	😸😸💖💖🙂❣️💪💟❤️🙂💓🤠😊😂😂😂😂😂😂❤️🙂 very difficult for me back 💪😎💪💪💪❣️😎❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️🎉❣️🎉🎉💗💗💗💗💗💗💗💗💗💪💪💪💪💪🔥🎉💔❣️😀💌🤠😀💌😀🤠💌🤠😀💟😀🤠💟😭💗😀😎😭💌💌💌💌💌💗❣️🙏💖😎💔😀😩💪🤩👍💔💟🎉🇮🇳💋❤️🙂🙂🙂💗🔥💓😎❣️🤩🤩💪❤️🇮🇳😸😸😸😸💋💋😸😸💖🙂
Braa Ahmed	5	November 9, 2020	ينبخخب
Yashoda SA	5	November 9, 2020	Sand Gtf 5
Armin Samadian	5	November 9, 2020	❤❤❤❤❤
learners for fun	1	November 9, 2020	I want to give 0 starts
GANNAMANENI BROTHERS	3	November 9, 2020	nice game l liked it
́Piano Covers	1	November 9, 2020	sad game
Krishnam Mishra	5	November 9, 2020	Excellent
Highly Blessed	5	November 9, 2020	Cool
coolhawk2008	3	November 9, 2020	45 sec add. Way to long. I can play another game in that amount of time
Mudumbi Arun	5	November 9, 2020	great stack run game
Kritika Lal Roll no.-24 Class 5C	5	November 9, 2020	Very nice 👌👍😊 app
Gurbaj singh Cheema	5	November 9, 2020	🤩🤩🤩🤩🥳🥳💪🍺🍺
Schramm The Ram	4	November 9, 2020	This game is easy to play and addictive. You have something special here. You can really get creative with the map design. Add more skins, a leader board system, a menu to track your wins/losses(etc), and achievements to earn.
Mohmed Mouiss	1	November 10, 2020	Fake Game
LuChaw kalaylay	5	November 10, 2020	Great
Sumit gamer bai	2	November 10, 2020	This is a good
Atharva Singh	5	November 10, 2020	Nice for the best game race amazing game rate the game
Xman Powell	3	November 10, 2020	High sensitivity
Jitendra Pratap	5	November 10, 2020	Better play
cookie Amira	4	November 10, 2020	OK O _O you might be looking at me why I gave this 4 stars is because it's a really fun game and all you got to do is just turn off your internet to not get ads but there's a little glitch in the game so that's why I gave it four stars but it has really good quality and it's a good game I'm not saying it's bad it's good
mohammad Harb	5	November 10, 2020	Nice game
Milk Man	1	November 10, 2020	I think you got some game in your ads.
Bharathi Mosali	5	November 10, 2020	Free from gyfgj
vishal Kumar	5	November 10, 2020	Im intest
Braulio bill	1	November 10, 2020	Too many ad Please too many ads good fame tho
Testicula	1	November 10, 2020	Literally after every match, there's an ad that's longer than the match itself.
cooking crafts and slimes	3	November 10, 2020	Nice
Jalil Freeman	5	November 10, 2020	This is a fantastic game. Not only is it a plus being multiplayer, but the other benefit is that it's fun and keeps you on your toes. Fantastic game. 👍🏿😂
Soheil Khoshnevis	1	November 10, 2020	Ads. Cheating bots
Elin Alipour	5	November 10, 2020	مگه می شه از این بازی دست کشید انقدر باحال که آدم باهاش کیف می کنه عاشقش شدم
Caleb Kenneth Veldsman	4	November 10, 2020	Cool
Jodie Underwood	5	November 10, 2020	I tanke i like it os mech
Raha fazaeli	5	November 10, 2020	So good . ❤❤❤❤❤
Wael Abdallah	5	November 10, 2020	GOOD GAMES
Noah Cassidy	1	November 10, 2020	Pretty much sucks coins are useless 10,000 for a legendary character it's a waste of time 1 star because it sucks and it needs to be better make coins easier to get or just make characters cheaper I obviously know the other players are bots the bots are bad also make the bots dumb maybe people will enjoy it better
Barbara Landre	5	November 10, 2020	I keep on winning XD
Georgina Mitchell	3	November 10, 2020	Lots of ads but very fun
Goldenlegend 7	1	November 10, 2020	Just a terrible game
Donovan Mullings	4	November 10, 2020	Stupid mindless fun
alireza rouhi	5	November 10, 2020	خیلی خوب Very good
Marcos Munos	5	November 10, 2020	Good Game
Oruamete solomon Brown	5	November 10, 2020	Super cool
EPICMEMEGAMER_BTW #1	5	November 10, 2020	Bs
justin clark	5	November 10, 2020	This game is turnt 🚫🧢
Mia Mia	5	November 10, 2020	Good game
Jerry Chapman	1	November 10, 2020	It is slow and when you tern it don't tern
A Google user	1	November 10, 2020	I dont kan insta tiss gameeee i wont to insta?
Tasneem Riad	5	November 10, 2020	يا اولت المتناكه
Ashley Willingham	5	November 10, 2020	I mean this game is so fun!!!
Lola Eissa	1	November 10, 2020	Uh
Scott Stroup	5	November 10, 2020	Fun game lots of ads
Tyler	2	November 10, 2020	If you like watching ads and occasionally playing a game you should download.
Noland Swan	5	November 10, 2020	Love the game. It is fun.
Fernand Pichardo	1	November 10, 2020	Ads are crazy
deadpoobob roblox	1	November 10, 2020	this game SUCKS
Nathan Hartwell	1	November 10, 2020	Dumb like all voodoo games
Mia	4	November 10, 2020	Good
Jordan Barth	1	November 10, 2020	The game is insanely glitchy and you can barely move withoit the game clipping you into the ocean. If they actually did some maintenance on this game, it would be extremely entertaining. Right now its just a mess that makes it impossible to navigate
Lexie Konkle	5	November 10, 2020	It fun but hard 😀
DaTrotzie14	1	November 10, 2020	The ads and the hole game is horrible
Pete Row	5	November 10, 2020	The game is cool
Goatedgod Keem	5	November 10, 2020	It gem is great
Azam zainal	3	November 10, 2020	too many ads
Tyler Seward	1	November 10, 2020	ads literally everywhere...
Samantha Hoogana	5	November 10, 2020	Best game ever
Josh Mccann	5	November 10, 2020	I'm from Florida. You don't want my opinion
Beckett Jones	5	November 10, 2020	It is awesome
Robert Locke	1	November 10, 2020	Controls suck! Not worth the frustration.
Fong Vang	3	November 10, 2020	Cool concept but boring because the other players are just AIs/bots. Play with airplane mode on to bypass ads. Would rate a 5 if you can actually play with other online players in real time.
Ice shooting Star	1	November 10, 2020	The controls are terrible if I turn the slightest bit I fall
Marvia Quarshie	4	November 10, 2020	I like the game but when I opened it a few days ago it did not have the regular thing that shows up a.k.a the picture of your character but when I opened it it had a picture of the sea and you having 100 coins when I had a million and when I deleted it and install it again when my phone died and I charged it and turned on my phone it had the pic of the sea I suggest you do something about this immediately for the love of God fix it this is not a mother talking it's a conserd 10 year old
jonathan burns	1	November 10, 2020	To many ads
Lil Ezko	1	November 10, 2020	Way too many commercials...looked good on instagram but in real life it SUCKS..!!
yaniliz and lilly fgteev	5	November 10, 2020	I love it 😀
indu vishnoi	1	November 10, 2020	I hate this game 😭 oo
Galaxy_ Foxy	5	November 10, 2020	This game is very cool but the turns needs to fix, the camera is way too sensitive but I'ma give it a five stars 🤩🤩🤩 it's cool but not really like ya know? Well bye and pls fix that
Boi Gamer	4	November 10, 2020	This is a fun game not going to lie but you need to fix it.im saying that because is your first to make it and if you it ×15 it will only give you 1k and thats not how it sepost to go so if you and fix that i will prob get it a 5... :\
Kareem Alsharbaji	5	November 10, 2020	Easy
Tanish Mudgal	5	November 10, 2020	So much funny and cool game
David Estrada	5	November 10, 2020	It is so fun?
Mindiya Limbu	5	November 10, 2020	Op game i Love
Sara 4937	5	November 10, 2020	I love this game it is a very fun game there is no problem with it
Sk Khan	3	November 10, 2020	Good game
kirill kukushkin	5	November 10, 2020	I'm enjoyed
Dekaleb Beard	3	November 10, 2020	WAYYYYY too many ads after every game theirs an ad and it's really annoying.
A Dakshinamurthy	1	November 10, 2020	Nice 👌
Nuthu Joshuva	5	November 10, 2020	It, s like time pass game
Default Karn	1	November 10, 2020	After a game it asked me if I wanted to triple my coins by watching an ad. I clicked no and it showed me an unskippable ad anyways.
Evie isler	5	November 10, 2020	I like it but i dont think i would be good.
Sai Babu	2	November 10, 2020	It is not good game
Brittany Daniels	4	November 10, 2020	Fun game
federico Bernandeschi	5	November 10, 2020	This game I so cool
Sanjay Shaw	5	November 10, 2020	I Love this game so much . This like hmmm? For Children is so good game
Veronica Camarillo	5	November 10, 2020	Download this game because it is very fun 😁😁😁😍🤗
Faegheh Haeri	5	November 10, 2020	Radin6★
Shekhar joshi	4	November 10, 2020	Interesting bt alot advertisement
Mallesh Thotakura	5	November 10, 2020	Very good
SubramanianD SubramanianD	5	November 10, 2020	S vomsshe is a very good kanadunar KFC
TheKisluy	1	November 10, 2020	Реклама! Больше чем геймплея!!! Больше времени тратиш на просмотр рекламы, чем на игру, даже не получая привелегии за просмотр.
Yaseen Nearat	5	November 10, 2020	I love this game
شهد عدالله	5	November 10, 2020	Good like me
Aishwarya Ammu	5	November 10, 2020	EXCELLENT
jigneshkumar patel	5	November 10, 2020	It is cool
Crish Jack	5	November 10, 2020	Awsome!!!!!
Laya Abu Omar	5	November 10, 2020	This game make me feel good it is very nice and I can not stop playing ☺️ but if we make the scene less expensive 😜 thanks for who did this game I love it sooooo much so goodbye because I want to play
Jarnail Singh	1	November 10, 2020	Nice ji
Bhargav M	5	November 10, 2020	Awesome game
ツLABRILO	1	November 10, 2020	THE WORST GAME I EVER PLAYED!!!!
Sachin Gupta	1	November 10, 2020	👌
N subbu N	1	November 10, 2020	Very boring 😴😴😴😑 Gam
Pezhman Heidari	5	November 10, 2020	Cool
Ayush Saha	5	November 10, 2020	Good
THE EVIL	5	November 10, 2020	I love this game 😍
Nathan Wilson	2	November 10, 2020	It fun but ads made it get boring real quick
Rupesh Pawar	5	November 10, 2020	Good
Aradhya Sharma	5	November 10, 2020	Nice app
chubz?	1	November 10, 2020	Yo who els here because of a add
Madhura Damle	5	November 10, 2020	God but not that much
Sajjad Ahmad	5	November 10, 2020	Wow
Dr. Shweta Nailwal	5	November 10, 2020	AMAZIMG
Okie Thomas	5	November 10, 2020	I just sooooooooooo fun
Rajat Bhardwaj	5	November 10, 2020	Good
big thunder	3	November 10, 2020	Low colour
Mr.Kavish Agarwal	1	November 10, 2020	On the very first day i got to knew that this game is full of bugs
hemang mandaliya	5	November 10, 2020	👍🏻👍🏻👍🏻👍🏻
Antoaneta Raponska	5	November 10, 2020	Tenks
A Meyyammai	1	November 10, 2020	Worst game I ever seen I am feeling there is no chance to give zero star 😡😡😡😠
Ian Kasner	2	November 10, 2020	Why do I keep installing VOODOO games, they're all cash grabs with such interesting ideas but the poorest of greedy executions that could be fun if they put effort into them but they dont. Game is obviously full of bots, they hardly even try to hide it, levels are painfully short and just on a whole other level of easy, dont even waste your time with yet another trashy ad ridden cash grab from your buddy ol' pals at VOODOO. Also, please at least change your style of design it's always the same.
Ram Nawal	5	November 10, 2020	Whirlpool refrigerator and freezer is best known for his glory of God in Christ Jesus I will be in touch and freezer is best known I will have the opportunity to work in Christ pastor of Accounting you on this one was there to be able to work with your picture for video is forbidden I will be in the future and I only need to work with the future of Barbie dolls are kuta I have the opportunity and freezer for the paper is also a very nice bro I have the future of our clients so that you gave me
Errol Rambaran	3	November 10, 2020	The game is alright its just that the game gets out of control when i start the game and it is hard to play but of all the game is fun.
Ch Dhanaram	4	November 10, 2020	Nandan
jervaughn mitchell	1	November 10, 2020	This game is no good
